"","CustomerID","Rating","MovieID","MovieTitle","Release Year","weeks_since_first","Length","IMDB_Rating","Action","Animation","Comedy","Drama","Documentary","Romance","Short","Recommended"
"1","1742805",4,"2945","10",1979,307.428571428571,122,5.7,0,0,1,0,0,1,0,"1"
"2","129796",3,"2945","10",1979,232.428571428571,122,5.7,0,0,1,0,0,1,0,"1"
"3","587610",4,"2945","10",1979,287,122,5.7,0,0,1,0,0,1,0,"1"
"4","1446612",2,"2945","10",1979,285.285714285714,122,5.7,0,0,1,0,0,1,0,"0"
"5","2597162",3,"2945","10",1979,136.285714285714,122,5.7,0,0,1,0,0,1,0,"1"
"6","1301887",4,"2945","10",1979,288.714285714286,122,5.7,0,0,1,0,0,1,0,"1"
"7","1878780",2,"2945","10",1979,250.142857142857,122,5.7,0,0,1,0,0,1,0,"0"
"8","446163",4,"2945","10",1979,137.142857142857,122,5.7,0,0,1,0,0,1,0,"1"
"9","1387099",4,"2945","10",1979,292.714285714286,122,5.7,0,0,1,0,0,1,0,"1"
"10","1729046",5,"2945","10",1979,286.571428571429,122,5.7,0,0,1,0,0,1,0,"1"
"11","1914703",4,"3463","10 Things I Hate About You",1999,251.571428571429,97,6.7,0,0,1,0,0,1,0,"1"
"12","742118",4,"3463","10 Things I Hate About You",1999,147.428571428571,97,6.7,0,0,1,0,0,1,0,"1"
"13","2174467",3,"3463","10 Things I Hate About You",1999,236.571428571429,97,6.7,0,0,1,0,0,1,0,"1"
"14","1523524",4,"3463","10 Things I Hate About You",1999,261.285714285714,97,6.7,0,0,1,0,0,1,0,"1"
"15","2617549",5,"3463","10 Things I Hate About You",1999,259.142857142857,97,6.7,0,0,1,0,0,1,0,"1"
"16","1256834",1,"3463","10 Things I Hate About You",1999,213.571428571429,97,6.7,0,0,1,0,0,1,0,"0"
"17","1334451",3,"3463","10 Things I Hate About You",1999,290.142857142857,97,6.7,0,0,1,0,0,1,0,"1"
"18","1368164",5,"3463","10 Things I Hate About You",1999,253.142857142857,97,6.7,0,0,1,0,0,1,0,"1"
"19","1858305",4,"3463","10 Things I Hate About You",1999,297,97,6.7,0,0,1,0,0,1,0,"1"
"20","229908",4,"3463","10 Things I Hate About You",1999,308.142857142857,97,6.7,0,0,1,0,0,1,0,"1"
"21","495341",3,"1012","13 Ghosts",1960,295.142857142857,85,5.6,0,0,0,0,0,0,0,"1"
"22","1814763",5,"1012","13 Ghosts",1960,254.428571428571,85,5.6,0,0,0,0,0,0,0,"1"
"23","2226510",3,"1012","13 Ghosts",1960,265.571428571429,85,5.6,0,0,0,0,0,0,0,"1"
"24","904672",1,"1012","13 Ghosts",1960,257,85,5.6,0,0,0,0,0,0,0,"0"
"25","577215",5,"1012","13 Ghosts",1960,308.857142857143,85,5.6,0,0,0,0,0,0,0,"1"
"26","322009",4,"1012","13 Ghosts",1960,221.142857142857,85,5.6,0,0,0,0,0,0,0,"1"
"27","1606064",2,"1012","13 Ghosts",1960,252.428571428571,85,5.6,0,0,0,0,0,0,0,"0"
"28","2503632",5,"1012","13 Ghosts",1960,283.714285714286,85,5.6,0,0,0,0,0,0,0,"1"
"29","1663888",4,"1012","13 Ghosts",1960,199.142857142857,85,5.6,0,0,0,0,0,0,0,"1"
"30","1626727",1,"1012","13 Ghosts",1960,216.571428571429,85,5.6,0,0,0,0,0,0,0,"0"
"31","2507406",2,"1711","13 Moons",2002,297.428571428571,93,5.6,0,0,1,0,0,0,0,"0"
"32","330493",3,"1711","13 Moons",2002,285.285714285714,93,5.6,0,0,1,0,0,0,0,"1"
"33","1882689",5,"1711","13 Moons",2002,273,93,5.6,0,0,1,0,0,0,0,"1"
"34","39675",3,"1711","13 Moons",2002,265,93,5.6,0,0,1,0,0,0,0,"1"
"35","871482",2,"1711","13 Moons",2002,268.857142857143,93,5.6,0,0,1,0,0,0,0,"0"
"36","796580",1,"1711","13 Moons",2002,256.714285714286,93,5.6,0,0,1,0,0,0,0,"0"
"37","508335",1,"1711","13 Moons",2002,268,93,5.6,0,0,1,0,0,0,0,"0"
"38","2191611",4,"1711","13 Moons",2002,265,93,5.6,0,0,1,0,0,0,0,"1"
"39","2263343",2,"1711","13 Moons",2002,238.428571428571,93,5.6,0,0,1,0,0,0,0,"0"
"40","342933",2,"1711","13 Moons",2002,270.142857142857,93,5.6,0,0,1,0,0,0,0,"0"
"41","2325824",4,"2932","1942: A Love Story",1993,269.142857142857,157,6.5,1,0,0,1,0,1,0,"1"
"42","1474508",3,"2932","1942: A Love Story",1993,272.142857142857,157,6.5,1,0,0,1,0,1,0,"1"
"43","1632475",3,"2932","1942: A Love Story",1993,265.857142857143,157,6.5,1,0,0,1,0,1,0,"1"
"44","120065",5,"2932","1942: A Love Story",1993,20.2857142857143,157,6.5,1,0,0,1,0,1,0,"1"
"45","2484843",3,"2932","1942: A Love Story",1993,255.142857142857,157,6.5,1,0,0,1,0,1,0,"1"
"46","2154579",4,"2932","1942: A Love Story",1993,244.857142857143,157,6.5,1,0,0,1,0,1,0,"1"
"47","1624891",4,"2932","1942: A Love Story",1993,167.571428571429,157,6.5,1,0,0,1,0,1,0,"1"
"48","2184488",4,"2932","1942: A Love Story",1993,265.714285714286,157,6.5,1,0,0,1,0,1,0,"1"
"49","2597239",4,"2932","1942: A Love Story",1993,262.428571428571,157,6.5,1,0,0,1,0,1,0,"1"
"50","1067100",4,"2932","1942: A Love Story",1993,153.571428571429,157,6.5,1,0,0,1,0,1,0,"1"
"51","1053421",4,"3579","2 Fast 2 Furious",2003,262.428571428571,107,5.1,1,0,0,0,0,0,0,"1"
"52","1043616",5,"3579","2 Fast 2 Furious",2003,253.142857142857,107,5.1,1,0,0,0,0,0,0,"1"
"53","2066932",5,"3579","2 Fast 2 Furious",2003,239.428571428571,107,5.1,1,0,0,0,0,0,0,"1"
